SAVINGS:
buboZeeman_202,1325898,1187639,27140,6.5,114.0,440.0,0.09,50.0,34.04373803199093,47.27723895749275,10000.0,200,180,16,355,40
buboZeeman_203,1356092,1187188,25709,6.5,114.0,440.0,0.09,50.0,34.94767696284049,47.43877997695006,10000.0,200,180,16,355,50
buboZeeman_204,1226849,1070749,22511,6.5,114.0,440.0,0.09,50.0,34.045026473245116,47.450018137964925,10000.0,200,180,16,355,60

buboZeeman_205,1280730,1131346,25215,6.5,114.0,440.0,0.09,50.0,34.49400302811213,47.63361230388566,10000.0,200,180,16,355,60
buboZeeman_206,1280447,1119908,25054,6.5,114.0,440.0,0.09,50.0,33.612669915130006,47.56737875890975,10000.0,200,180,16,355,60
buboZeeman_207,1226395,1059424,24666,6.5,114.0,440.0,0.09,50.0,34.40736502957019,47.51408329744495,10000.0,200,180,16,355,60
buboZeeman_208,1224776,1069111,23162,6.5,114.0,440.0,0.09,50.0,34.675269121688416,47.707477190195895,10000.0,200,180,16,355,60
buboZeeman_209,1228918,1088600,24606,6.5,114.0,440.0,0.09,50.0,34.18756650353305,47.63943831824998,10000.0,200,180,16,355,60
buboZeeman_210,1252585,1080119,24369,6.5,114.0,440.0,0.09,50.0,33.99145360578376,47.57231219732853,10000.0,200,180,16,355,60

buboZeeman_194,1461746,1358559,28718,6.5,114.0,440.0,0.09,50.0,29.93431402729638,45.69231670150343,10000.0,200,180,16,360,60
buboZeeman_195,1388711,1263454,30848,6.5,114.0,440.0,0.09,50.0,31.021192663968947,45.73038808830507,10000.0,200,180,16,360,50
buboZeeman_196,1234966,1127899,26903,6.5,114.0,440.0,0.09,50.0,31.72133971389232,45.207188303392215,10000.0,200,180,16,360,40
buboZeeman_199,1507136,1368137,31362,6.5,114.0,440.0,0.09,50.0,32.932364639524074,46.68740577383306,10000.0,200,180,16,365,60
buboZeeman_200,1490451,1333318,28560,6.5,114.0,440.0,0.09,50.0,33.833623200949106,46.515270585792834,10000.0,200,180,16,365,50
buboZeeman_201,1268835,1117157,24616,6.5,114.0,440.0,0.09,50.0,33.2873562822313,46.8311121854829,10000.0,200,180,16,365,40
buboZeeman_197,1131179,1002946,24587,6.5,114.0,440.0,0.09,50.0,32.23024041457912,45.98374123263555,10000.0,200,180,16,370,40
buboZeeman_198,1383081,1249039,27267,6.5,114.0,440.0,0.09,50.0,32.48192425575884,46.05208861050247,10000.0,200,180,16,370,50
