AbsImgPulse_duration,COILS_Temp,FluoAnalyser,FluoAnalyser,FluoAnalyser,FluoAnalyser,FluoAnalyser,FluoAnalyser,FluoAnalyser,FluoAnalyser,FluoAnalyser,FluoAnalyser,FluoAnalyser,FluoAnalyser,FluoAnalyser,FluoAnalyser,FluoAnalyser,FluoAnalyser,FluoCoolingPulsing,FluoImaging_duration,FluoImgCooling_Dt,FluoImgPulse_Dt,Free_Frq,Free_Pow,ImagingFluo_Frq,ImagingFluo_Pow,ImagingTweez_Frq,ImagingTweez_Pow,Imaging_Frq,Imaging_Pow,LAC,LAC_Frq,LAC_Pow,LAC_duration,MOT_RED_SF_duration,MOT_RED_duration,MultiRed_central,Objective_distance,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_Camera,Orca_ROI,QuantizAxis_X_Coils_Current,QuantizAxis_Y_Coils_Current,QuantizAxis_Z_Coils_Current,QuantizAxis_ramp_duration,QuantumAxis,Red_MOT_Frq,Red_MOT_Pow,Red_Multi_Freqdev,ShieldMulti,ShieldSingle,SisyphusImg_Frq,Sisyphus_Frq,Sisyphus_Pow,TOF,Tube_lens_position,TweezerCooling_duration,TweezerLoading_duration,TwoD_DELAY,X_Coils_Current,Y_Coils_Current,Z_Coils_Current,Z_Coils_Current_moved,Zeeman_Power,agnostic_path,beam_imaging,camera_abs,camera_fluo,coils_current_cntrl,coils_current_ctrl_red,dueD_MOT_Frq,dueD_MOT_Pow,filepath,imaging_abs,imaging_fluo,imaging_waveplate_2,imaging_waveplate_4,labscript,loadTime_BlueMOT,mot_blue,mot_red,mot_red_sf,n_loop,n_runs,n_shot,red_multi_pow,red_multi_step,run number,run repeat,run time,sequence,sequence_index,spectroscopy_red_ramp,stop_buffering_time,table_red,treD_MOT_Frq,treD_MOT_Pow,tweezers
,,atom_in_tweezer_1,atom_in_tweezer_2,atom_in_tweezer_3,max_tweezer_1,max_tweezer_2,max_tweezer_3,mean_tweezer_1,mean_tweezer_2,mean_tweezer_3,photo_background,photon_tweezer_1,photon_tweezer_2,photon_tweezer_3,variance_tweezer_1,variance_tweezer_2,variance_tweezer_3,,,,,,,,,,,,,,,,,,,,,BINNING,BIT PER CHANNEL,BUFFER FRAMEBYTES,BUFFER PIXEL TYPE,BUFFER ROWBYTES,BUFFER TOP OFFSET BYTES,CAPTURE MODE,COLORTYPE,CONVERSION FACTOR COEFF,CONVERSION FACTOR OFFSET,DEFECT CORRECT MODE,EXPOSURE TIME,FRAME STAMP PRODUCER,FRAMEBUNDLE FRAME STEP BYTES,FRAMEBUNDLE MODE,FRAMEBUNDLE NUMBER,FRAMEBUNDLE ROWBYTES,HOT PIXEL CORRECT LEVEL,IMAGE CAMERA STAMP,IMAGE DETECTOR PIXEL HEIGHT,IMAGE DETECTOR PIXEL NUM HORZ,IMAGE DETECTOR PIXEL NUM VERT,IMAGE DETECTOR PIXEL WIDTH,IMAGE FRAMEBYTES,IMAGE HEIGHT,IMAGE PIXEL TYPE,IMAGE ROWBYTES,IMAGE TOP OFFSET BYTES,IMAGE WIDTH,INTENSITY LUT MODE,INTENSITY LUT PAGE,INTERNAL FRAME INTERVAL,INTERNAL FRAME RATE,INTERNAL LINE INTERVAL,INTERNAL LINE SPEED,MASTER PULSE BURST TIMES,MASTER PULSE INTERVAL,MASTER PULSE MODE,MASTER PULSE TRIGGER SOURCE,NUMBER OF OUTPUT TRIGGER CONNECTOR,OUTPUT TRIGGER ACTIVE[0],OUTPUT TRIGGER DELAY[0],OUTPUT TRIGGER KIND[0],OUTPUT TRIGGER PERIOD[0],OUTPUT TRIGGER POLARITY[0],OUTPUT TRIGGER PRE HSYNC COUNT,OUTPUT TRIGGER SOURCE[0],READOUT DIRECTION,READOUT SPEED,RECORD FIXED BYTES PER FILE,RECORD FIXED BYTES PER FRAME,RECORD FIXED BYTES PER SESSION,SENSOR COOLER STATUS,SENSOR MODE,SENSOR TEMPERATURE,SUBARRAY HPOS,SUBARRAY HSIZE,SUBARRAY MODE,SUBARRAY VPOS,SUBARRAY VSIZE,SYSTEM ALIVE,TIME STAMP PRODUCER,TIMING CYCLIC TRIGGER PERIOD,TIMING EXPOSURE,TIMING GLOBAL EXPOSURE DELAY,TIMING INVALID EXPOSURE PERIOD,TIMING MIN TRIGGER BLANKING,TIMING MIN TRIGGER INTERVAL,TIMING READOUT TIME,TRIGGER ACTIVE,TRIGGER CONNECTOR,TRIGGER DELAY,TRIGGER GLOBAL EXPOSURE,TRIGGER MODE,TRIGGER POLARITY,TRIGGER SOURCE,TRIGGER TIMES,TweezFluo,TweezFluo,TweezFluo,TweezFluo,camera,failed_shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frame,frame,frame,frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASS,IMAGE_SUBCLASS,IMAGE_VERSION,IMAGE_WHITE_IS_ZERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,19.7,0,0,0,16.0,13.0,13.0,1.296875,1.21875,0.171875,19.6,8.3,7.8,1.1,21.64624,20.952148,15.642334,False,10.0,1,0.5,80,28,108,10.0,114,29,114,28,False,73.9,25,100,100,300,73.02,100.1,1.0,16.0,20000.0,2.0,200.0,0.0,1.0,1.0,0.11,200.0,2.0,0.010000799999999999,5.0,20000.0,1.0,2.0,200.0,1.0,0.0,4.6000000000000005,4096.0,2304.0,4.6000000000000005,20000.0,100.0,2.0,200.0,0.0,100.0,1.0,1.0,0.0104184,95.98402825769793,7.2e-06,0.638888888888889,1.0,0.1,1.0,1.0,3.0,1.0,0.0,2.0,0.0009999999999999998,2.0,0.0,2.0,1.0,2.0,256.0,51248.0,916.0,2.0,1.0,-20.0,2308.0,100.0,2.0,792.0,100.0,2.0,5.0,0.0,3.0,0.0004104,2.88e-05,0.0,0.010432799999999999,0.00042479999999999997,1.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,b'IMAGE',b'IMAGE_GRAYSCALE',b'1.2',0,Orca_Camera,False,tweez,0.09,1.5,0.432,15,True,74.94,24,110,True,False,73.7,74.6,20,0.5,10,40,10,10,0.09,0.377,0.43,0.9,35,Z:\Experiments\Sr\Selection_experiment\2024\10\23\0042\2024-10-23_0042_Selection_experiment_000.h5,abs,basler_abs,orca,2.5,0.1,209,28,F:\Experiments\Sr\Selection_experiment\2024\10\23\0042\2024-10-23_0042_Selection_experiment_000.h5,False,True,340,340,Selection_experiment.py,150,True,True,True,1,189,1.0,26.5,30,0,0,2024-10-23 18:49:37.132914+02:00,2024-10-23 18:49:16+02:00,42,75.455,100,True,170,28,True
60,19.7,0,0,0,37.0,24.0,23.0,2.71875,3.21875,1.828125,19.5,17.4,20.6,11.7,43.38965,51.13965,40.236084,False,60.0,1,0.5,80,28,108,10.0,114,29,114,28,False,73.9,25,100,100,300,73.02,100.1,1.0,16.0,20000.0,2.0,200.0,0.0,1.0,1.0,0.11,200.0,2.0,0.0600048,5.0,20000.0,1.0,2.0,200.0,1.0,0.0,4.6000000000000005,4096.0,2304.0,4.6000000000000005,20000.0,100.0,2.0,200.0,0.0,100.0,1.0,1.0,0.060422399999999994,16.550153585425274,7.2e-06,0.638888888888889,1.0,0.1,1.0,1.0,3.0,1.0,0.0,2.0,0.0009999999999999998,2.0,0.0,2.0,1.0,2.0,256.0,51248.0,916.0,2.0,1.0,-20.0,2308.0,100.0,2.0,792.0,100.0,2.0,5.0,0.0,3.0,0.0004104,2.88e-05,0.0,0.06043679999999999,0.00042479999999999997,1.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,b'IMAGE',b'IMAGE_GRAYSCALE',b'1.2',0,Orca_Camera,False,tweez,0.09,1.5,0.432,15,True,74.94,24,110,True,False,73.7,74.6,20,0.5,10,40,10,10,0.09,0.377,0.43,0.9,35,Z:\Experiments\Sr\Selection_experiment\2024\10\23\0042\2024-10-23_0042_Selection_experiment_001.h5,abs,basler_abs,orca,2.5,0.1,209,28,F:\Experiments\Sr\Selection_experiment\2024\10\23\0042\2024-10-23_0042_Selection_experiment_001.h5,False,True,340,340,Selection_experiment.py,150,True,True,True,1,189,1.0,26.5,30,1,0,2024-10-23 18:49:39.487149+02:00,2024-10-23 18:49:16+02:00,42,75.455,100,True,170,28,True
60,19.7,0,0,0,28.0,29.0,28.0,3.546875,2.953125,2.828125,34.8,22.7,18.9,18.1,43.060303,41.107178,44.923584,False,110.0,1,0.5,80,28,108,10.0,114,29,114,28,False,73.9,25,100,100,300,73.02,100.1,1.0,16.0,20000.0,2.0,200.0,0.0,1.0,1.0,0.11,200.0,2.0,0.11000159999999999,5.0,20000.0,1.0,2.0,200.0,1.0,0.0,4.6000000000000005,4096.0,2304.0,4.6000000000000005,20000.0,100.0,2.0,200.0,0.0,100.0,1.0,1.0,0.1104192,9.056395989103345,7.2e-06,0.638888888888889,1.0,0.1,1.0,1.0,3.0,1.0,0.0,2.0,0.0009999999999999998,2.0,0.0,2.0,1.0,2.0,256.0,51248.0,916.0,2.0,1.0,-20.0,2308.0,100.0,2.0,792.0,100.0,2.0,5.0,0.0,3.0,0.0004104,2.88e-05,0.0,0.11043359999999999,0.00042479999999999997,1.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,b'IMAGE',b'IMAGE_GRAYSCALE',b'1.2',0,Orca_Camera,False,tweez,0.09,1.5,0.432,15,True,74.94,24,110,True,False,73.7,74.6,20,0.5,10,40,10,10,0.09,0.377,0.43,0.9,35,Z:\Experiments\Sr\Selection_experiment\2024\10\23\0042\2024-10-23_0042_Selection_experiment_002.h5,abs,basler_abs,orca,2.5,0.1,209,28,F:\Experiments\Sr\Selection_experiment\2024\10\23\0042\2024-10-23_0042_Selection_experiment_002.h5,False,True,340,340,Selection_experiment.py,150,True,True,True,1,189,1.0,26.5,30,2,0,2024-10-23 18:49:41.999190+02:00,2024-10-23 18:49:16+02:00,42,75.455,100,True,170,28,True
60,19.7,0,0,0,30.0,19.0,22.0,4.140625,4.515625,3.015625,28.3,26.5,28.9,19.3,47.43335,48.906006,39.98413,False,160.0,1,0.5,80,28,108,10.0,114,29,114,28,False,73.9,25,100,100,300,73.02,100.1,1.0,16.0,20000.0,2.0,200.0,0.0,1.0,1.0,0.11,200.0,2.0,0.1600056,5.0,20000.0,1.0,2.0,200.0,1.0,0.0,4.6000000000000005,4096.0,2304.0,4.6000000000000005,20000.0,100.0,2.0,200.0,0.0,100.0,1.0,1.0,0.1604232,6.233512359808308,7.2e-06,0.638888888888889,1.0,0.1,1.0,1.0,3.0,1.0,0.0,2.0,0.0009999999999999998,2.0,0.0,2.0,1.0,2.0,256.0,51248.0,916.0,2.0,1.0,-20.0,2308.0,100.0,2.0,792.0,100.0,2.0,5.0,0.0,3.0,0.0004104,2.88e-05,0.0,0.16043759999999999,0.00042479999999999997,1.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,b'IMAGE',b'IMAGE_GRAYSCALE',b'1.2',0,Orca_Camera,False,tweez,0.09,1.5,0.432,15,True,74.94,24,110,True,False,73.7,74.6,20,0.5,10,40,10,10,0.09,0.377,0.43,0.9,35,Z:\Experiments\Sr\Selection_experiment\2024\10\23\0042\2024-10-23_0042_Selection_experiment_003.h5,abs,basler_abs,orca,2.5,0.1,209,28,F:\Experiments\Sr\Selection_experiment\2024\10\23\0042\2024-10-23_0042_Selection_experiment_003.h5,False,True,340,340,Selection_experiment.py,150,True,True,True,1,189,1.0,26.5,30,3,0,2024-10-23 18:49:44.446313+02:00,2024-10-23 18:49:16+02:00,42,75.455,100,True,170,28,True
60,19.7,0,0,0,32.0,36.0,35.0,3.71875,6.09375,3.953125,21.9,23.8,39.0,25.3,78.76465,73.58496,82.91968,False,210.0,1,0.5,80,28,108,10.0,114,29,114,28,False,73.9,25,100,100,300,73.02,100.1,1.0,16.0,20000.0,2.0,200.0,0.0,1.0,1.0,0.11,200.0,2.0,0.21000239999999998,5.0,20000.0,1.0,2.0,200.0,1.0,0.0,4.6000000000000005,4096.0,2304.0,4.6000000000000005,20000.0,100.0,2.0,200.0,0.0,100.0,1.0,1.0,0.21042,4.7523999619808,7.2e-06,0.638888888888889,1.0,0.1,1.0,1.0,3.0,1.0,0.0,2.0,0.0009999999999999998,2.0,0.0,2.0,1.0,2.0,256.0,51248.0,916.0,2.0,1.0,-20.0,2308.0,100.0,2.0,792.0,100.0,2.0,5.0,0.0,3.0,0.0004104,2.88e-05,0.0,0.2104344,0.00042479999999999997,1.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,b'IMAGE',b'IMAGE_GRAYSCALE',b'1.2',0,Orca_Camera,False,tweez,0.09,1.5,0.432,15,True,74.94,24,110,True,False,73.7,74.6,20,0.5,10,40,10,10,0.09,0.377,0.43,0.9,35,Z:\Experiments\Sr\Selection_experiment\2024\10\23\0042\2024-10-23_0042_Selection_experiment_004.h5,abs,basler_abs,orca,2.5,0.1,209,28,F:\Experiments\Sr\Selection_experiment\2024\10\23\0042\2024-10-23_0042_Selection_experiment_004.h5,False,True,340,340,Selection_experiment.py,150,True,True,True,1,189,1.0,26.5,30,4,0,2024-10-23 18:49:46.951105+02:00,2024-10-23 18:49:16+02:00,42,75.455,100,True,170,28,True
60,19.7,1,0,0,30.0,23.0,26.0,6.34375,6.0625,4.75,39.2,40.6,38.8,30.4,62.819336,53.308594,68.09375,False,260.0,1,0.5,80,28,108,10.0,114,29,114,28,False,73.9,25,100,100,300,73.02,100.1,1.0,16.0,20000.0,2.0,200.0,0.0,1.0,1.0,0.11,200.0,2.0,0.26000639999999997,5.0,20000.0,1.0,2.0,200.0,1.0,0.0,4.6000000000000005,4096.0,2304.0,4.6000000000000005,20000.0,100.0,2.0,200.0,0.0,100.0,1.0,1.0,0.260424,3.8398918686449792,7.2e-06,0.638888888888889,1.0,0.1,1.0,1.0,3.0,1.0,0.0,2.0,0.0009999999999999998,2.0,0.0,2.0,1.0,2.0,256.0,51248.0,916.0,2.0,1.0,-20.0,2308.0,100.0,2.0,792.0,100.0,2.0,5.0,0.0,3.0,0.0004104,2.88e-05,0.0,0.2604384,0.00042479999999999997,1.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,b'IMAGE',b'IMAGE_GRAYSCALE',b'1.2',0,Orca_Camera,False,tweez,0.09,1.5,0.432,15,True,74.94,24,110,True,False,73.7,74.6,20,0.5,10,40,10,10,0.09,0.377,0.43,0.9,35,Z:\Experiments\Sr\Selection_experiment\2024\10\23\0042\2024-10-23_0042_Selection_experiment_005.h5,abs,basler_abs,orca,2.5,0.1,209,28,F:\Experiments\Sr\Selection_experiment\2024\10\23\0042\2024-10-23_0042_Selection_experiment_005.h5,False,True,340,340,Selection_experiment.py,150,True,True,True,1,189,1.0,26.5,30,5,0,2024-10-23 18:49:49.488314+02:00,2024-10-23 18:49:16+02:00,42,75.455,100,True,170,28,True
60,19.7,1,1,0,31.0,32.0,28.0,7.078125,6.375,4.453125,52.3,45.3,40.8,28.5,67.04077,70.484375,60.435303,False,310.0,1,0.5,80,28,108,10.0,114,29,114,28,False,73.9,25,100,100,300,73.02,100.1,1.0,16.0,20000.0,2.0,200.0,0.0,1.0,1.0,0.11,200.0,2.0,0.3100032,5.0,20000.0,1.0,2.0,200.0,1.0,0.0,4.6000000000000005,4096.0,2304.0,4.6000000000000005,20000.0,100.0,2.0,200.0,0.0,100.0,1.0,1.0,0.3104208,3.2214336152732033,7.2e-06,0.638888888888889,1.0,0.1,1.0,1.0,3.0,1.0,0.0,2.0,0.0009999999999999998,2.0,0.0,2.0,1.0,2.0,256.0,51248.0,916.0,2.0,1.0,-20.0,2308.0,100.0,2.0,792.0,100.0,2.0,5.0,0.0,3.0,0.0004104,2.88e-05,0.0,0.3104352,0.00042479999999999997,1.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,b'IMAGE',b'IMAGE_GRAYSCALE',b'1.2',0,Orca_Camera,False,tweez,0.09,1.5,0.432,15,True,74.94,24,110,True,False,73.7,74.6,20,0.5,10,40,10,10,0.09,0.377,0.43,0.9,35,Z:\Experiments\Sr\Selection_experiment\2024\10\23\0042\2024-10-23_0042_Selection_experiment_006.h5,abs,basler_abs,orca,2.5,0.1,209,28,F:\Experiments\Sr\Selection_experiment\2024\10\23\0042\2024-10-23_0042_Selection_experiment_006.h5,False,True,340,340,Selection_experiment.py,150,True,True,True,1,189,1.0,26.5,30,6,0,2024-10-23 18:49:52.473133+02:00,2024-10-23 18:49:16+02:00,42,75.455,100,True,170,28,True
